Seq,_in,cue,speakerID_A,name_A,caption_A,duration_A,style_A,speakerID_B,name_B,caption_B,duration_B,style_B,speakerID_C,name_C,caption_C,duration_C,style_C,speakerID_D,name_D,caption_D,duration_D,style_D
,,SCENE 1,,,,,,,,,,,,,,,,,,,,
153,,,8,#8,the b-word,3000,normal,,,,,,,,,,,,,,,
154,,,7,#7,bitch,2000,normal,,,,,,,,,,,,,,,
155,,,14,#14,ha biotch,2000,normal,,,,,,,,,,,,,,,
156,,,25,#25,hey,2000,normal,,,,,,,,,,,,,,,
157,,,14,#14,oh my god it is just like a female dog!,3000,normal,,,,,,,,,,,,,,,
158,,,13,#13,I hear she like,3000,normal,,,,,,,,,,,,,,,
159,,,13,#13,she like speaks in tongues,3000,normal,,,,,,,,,,,,,,,
160,,,8,#8,no she doesn’t,3000,normal,,,,,,,,,,,,,,,
161,,,13,#13,that’s not what Kristen told me,3000,normal,,,,,,,,,,,,,,,
162,,,8,#8,she doesn’t,3000,normal,,,,,,,,,,,,,,,
163,,,8,#8,she goes to my step-mom’s church,3000,normal,,,,,,,,,,,,,,,
164,,,8,#8,she’s Episcopalian,3000,normal,,,,,,,,,,,,,,,
165,,,13,#13,[speaking in tongues aka ululation],3000,normal,,,,,,,,,,,,,,,
166,,,13,#13,lalalalalala,2000,normal,,,,,,,,,,,,,,,
167,,,11,#11,I saw this documentary on Netflix,3000,normal,,,,,,,,,,,,,,,
168,,,11,#11,about like snake handling,3000,normal,,,,,,,,,,,,,,,
169,,,11,#11,have you guys heard about snake handling,3000,normal,,,,,,,,,,,,,,,
170,,,7,#7,more like Bitch-co-palian,3000,normal,,,,,,,,,,,,,,,
171,,,13,#13,[tongues become more of a song],3000,normal,,,,,,,,,,,,,,,
172,,,13,#13,lalalalalala ,2000,normal,,,,,,,,,,,,,,,
173,,,11,#11,all these southerners like die of snakebites,3000,normal,,,,,,,,,,,,,,,
174,,,11,#11,while like communing with god,3000,normal,,,,,,,,,,,,,,,
175,,,11,#11,it’s so dark,3000,normal,,,,,,,,,,,,,,,
176,,,25,#25,why would you watch a documentary?,3000,normal,,,,,,,,,,,,,,,
177,,,11,#11,I dunno,2000,normal,,,,,,,,,,,,,,,
178,,,11,#11,it’s cool stuff,3000,normal,,,,,,,,,,,,,,,
179,,,14,#14,or like,2000,normal,,,,,,,,,,,,,,,
180,,,14,#14,like,1000,normal,,,,,,,,,,,,,,,
181,,,14,#14,E-bitch-co-palian,3000,normal,,,,,,,,,,,,,,,
182,,,7,#7,um hello,2000,normal,11,#11,they have so many options on there,3000,normal,,,,,,,,,,
183,,,7,#7,just made that joke,3000,normal,11,#11,you should check it out,3000,normal,13,#13,lalalalalalala,3000,normal,,,,,
184,,,14,#14,ha yeah you did,3000,normal,25,#25,but for fun?,3000,normal,13,#13,lalalalalalala,3000,normal,,,,,
185,,,7,#7,shut up whore,3000,normal,25,#25,you do that for fun?,3000,normal,13,#13,lalalalalalala,3000,normal,,,,,
186,,,14,#14,ha ha shut it you uh,3000,normal,11,#11,or like,3000,normal,13,#13,lalalalalalala,3000,normal,,,,,
187,,,14,#14,you uh,3000,normal,11,#11,on family movie night,3000,normal,13,#13,lalalalalalala,3000,normal,,,,,
188,,,7,#7,make me bitch,3000,normal,11,#11,would you shut up?,3000,normal,13,#13,lalalalalalala,3000,normal,,,,,
189,,,14,#14,...ok,3000,normal,25,#25,you guys do movie nights?,3000,normal,13,#13,lalalalalalala,3000,normal,,,,,
190,,,,,,,,11,#11,I don’t want to talk about it,3000,normal,13,#13,lalalalalalala,3000,normal,,,,,
191,,,7,#7,OW!,3000,normal,,,,,,13,#13,lalalalalalala,3000,normal,,,,,
192,,,25,#25,Ladies,3000,normal,,,,,,13,#13,lalalala,3000,normal,,,,,
193,,,14,#14,baby,3000,normal,,,,,,,,,,,,,,,
194,,,7,#7,that hurt asshole,3000,normal,,,,,,,,,,,,,,,
195,,,14,#14,faker baby,3000,normal,,,,,,,,,,,,,,,
196,,,7,#7,fuck you they’re really tender right now,3000,normal,,,,,,,,,,,,,,,
197,,,25,#25,Ladies,3000,normal,,,,,,,,,,,,,,,
198,,,46,#46,is it because you are pregnant?,3000,normal,,,,,,,,,,,,,,,
199,,,8,#8,were you guys talking about the Khmer Rouge?,3000,normal,,,,,,,,,,,,,,,
200,,,11,#11,yeah,3000,normal,,,,,,,,,,,,,,,
201,,,8,#8,did you read that,3000,normal,,,,,,,,,,,,,,,
202,,,11,#11,that article yeah,3000,normal,,,,,,,,,,,,,,,
203,,,46,#46,what article,3000,normal,,,,,,,,,,,,,,,
204,,,8,#8,so horrible,3000,normal,,,,,,,,,,,,,,,
205,,,11,#11,yeah,3000,normal,,,,,,,,,,,,,,,
206,,,46,#46,guys what article,3000,normal,,,,,,,,,,,,,,,
207,,,7,#7,would you shut the fuck up?,3000,normal,,,,,,,,,,,,,,,
208,,,13,#13,I thought it was Kamar Rogue ,3000,normal,,,,,,,,,,,,,,,
209,,,11,#11,no I’m pretty sure it’s Khmer Rouge ,3000,normal,,,,,,,,,,,,,,,
